Day,Interest
2018-10-28,3
2018-10-29,4
2018-10-30,6
2018-10-31,7
2018-11-01,4
2018-11-02,10
2018-11-03,12
2018-11-04,21
2018-11-05,32
2018-11-06,47
2018-11-07,53
2018-11-08,65
2018-11-09,69
2018-11-10,76
2018-11-11,100
2018-11-12,89
2018-11-13,80
2018-11-14,81
2018-11-15,72
2018-11-16,58
2018-11-17,61
2018-11-18,52
2018-11-19,45
2018-11-20,45
2018-11-21,48
2018-11-22,49
2018-11-23,36
2018-11-24,36
2018-11-25,39
2018-11-26,32
2018-11-27,41
2018-11-28,47
2018-11-29,40
2018-11-30,53
2018-12-01,46
2018-12-02,34
2018-12-03,28
2018-12-04,35
2018-12-05,38
2018-12-06,32
2018-12-07,37
2018-12-08,24
2018-12-09,26
2018-12-10,23
2018-12-11,34
2018-12-12,37
2018-12-13,24
2018-12-14,24
2018-12-15,29
2018-12-16,29
2018-12-17,37
2018-12-18,31
2018-12-19,34
2018-12-20,39
2018-12-21,31
2018-12-22,34
2018-12-23,34
2018-12-24,32
2018-12-25,34
2018-12-26,20
2018-12-27,25
2018-12-28,29
2018-12-29,27
2018-12-30,22
2018-12-31,26
2019-01-01,33
2019-01-02,23
2019-01-03,27
2019-01-04,12
2019-01-05,25
2019-01-06,15
2019-01-07,27
2019-01-08,25
2019-01-09,29
2019-01-10,37
2019-01-11,16
2019-01-12,23
2019-01-13,14
2019-01-14,18
2019-01-15,21
2019-01-16,19
2019-01-17,19
2019-01-18,20
2019-01-19,25
2019-01-20,13
2019-01-21,14
2019-01-22,23
2019-01-23,23
2019-01-24,16
2019-01-25,21
2019-01-26,12
2019-01-27,16
2019-01-28,18
2019-01-29,18
2019-01-30,12
2019-01-31,23
2019-02-01,17
2019-02-02,20
2019-02-03,16
2019-02-04,16
2019-02-05,12
