Day,Interest
2019-05-30,6
2019-05-31,9
2019-06-01,13
2019-06-02,29
2019-06-03,35
2019-06-04,42
2019-06-05,56
2019-06-06,76
2019-06-07,91
2019-06-08,87
2019-06-09,89
2019-06-10,100
2019-06-11,99
2019-06-12,85
2019-06-13,73
2019-06-14,67
2019-06-15,74
2019-06-16,76
2019-06-17,59
2019-06-18,56
2019-06-19,52
2019-06-20,38
2019-06-21,33
2019-06-22,38
2019-06-23,45
2019-06-24,26
2019-06-25,35
2019-06-26,32
2019-06-27,27
2019-06-28,21
2019-06-29,27
2019-06-30,29
2019-07-01,25
2019-07-02,21
2019-07-03,20
2019-07-04,26
2019-07-05,18
2019-07-06,21
2019-07-07,27
2019-07-08,19
2019-07-09,20
2019-07-10,19
2019-07-11,19
2019-07-12,23
2019-07-13,25
2019-07-14,28
2019-07-15,20
2019-07-16,19
2019-07-17,17
2019-07-18,12
2019-07-19,16
2019-07-20,19
2019-07-21,19
2019-07-22,14
2019-07-23,16
2019-07-24,13
2019-07-25,13
2019-07-26,21
2019-07-27,12
2019-07-28,14
2019-07-29,17
2019-07-30,15
2019-07-31,17
2019-08-01,13
2019-08-02,11
2019-08-03,12
2019-08-04,10
2019-08-05,11
2019-08-06,7
2019-08-07,11
