Day,Interest
2019-10-24,8
2019-10-25,7
2019-10-26,9
2019-10-27,11
2019-10-28,16
2019-10-29,14
2019-10-30,13
2019-10-31,22
2019-11-01,17
2019-11-02,18
2019-11-03,20
2019-11-04,20
2019-11-05,44
2019-11-06,49
2019-11-07,66
2019-11-08,73
2019-11-09,100
2019-11-10,77
2019-11-11,59
2019-11-12,62
2019-11-13,55
2019-11-14,51
2019-11-15,41
2019-11-16,44
2019-11-17,51
2019-11-18,40
2019-11-19,41
2019-11-20,43
2019-11-21,38
2019-11-22,41
2019-11-23,41
2019-11-24,36
2019-11-25,29
2019-11-26,30
2019-11-27,28
2019-11-28,30
2019-11-29,23
2019-11-30,19
2019-12-01,19
2019-12-02,17
2019-12-03,21
2019-12-04,15
2019-12-05,15
2019-12-06,20
2019-12-07,20
2019-12-08,19
2019-12-09,17
2019-12-10,15
2019-12-11,16
2019-12-12,17
2019-12-13,17
2019-12-14,15
2019-12-15,13
2019-12-16,11
2019-12-17,14
2019-12-18,15
2019-12-19,12
2019-12-20,16
2019-12-21,10
2019-12-22,10
2019-12-23,12
2019-12-24,10
2019-12-25,13
2019-12-26,9
2019-12-27,11
2019-12-28,8
2019-12-29,10
2019-12-30,8
2019-12-31,9
2020-01-01,10
2020-01-02,8
2020-01-03,6
2020-01-04,5
2020-01-05,6
2020-01-06,7
2020-01-07,5
2020-01-08,5
2020-01-09,5
2020-01-10,3
2020-01-11,5
2020-01-12,5
