Day,Interest
2019-11-11,0
2019-11-12,5
2019-11-13,16
2019-11-14,14
2019-11-15,16
2019-11-16,41
2019-11-17,44
2019-11-18,41
2019-11-19,46
2019-11-20,50
2019-11-21,49
2019-11-22,69
2019-11-23,87
2019-11-24,72
2019-11-25,63
2019-11-26,55
2019-11-27,62
2019-11-28,68
2019-11-29,60
2019-11-30,83
2019-12-01,80
2019-12-02,82
2019-12-03,92
2019-12-04,100
2019-12-05,92
2019-12-06,91
2019-12-07,89
2019-12-08,74
2019-12-09,62
2019-12-10,61
2019-12-11,59
2019-12-12,61
2019-12-13,70
2019-12-14,76
2019-12-15,74
2019-12-16,67
2019-12-17,66
2019-12-18,69
2019-12-19,76
2019-12-20,75
2019-12-21,83
2019-12-22,77
2019-12-23,64
2019-12-24,65
2019-12-25,79
2019-12-26,53
2019-12-27,53
2019-12-28,68
2019-12-29,60
2019-12-30,55
2019-12-31,53
2020-01-01,52
2020-01-02,42
2020-01-03,42
2020-01-04,46
2020-01-05,50
2020-01-06,42
2020-01-07,41
2020-01-08,39
2020-01-09,38
2020-01-10,38
2020-01-11,35
2020-01-12,31
2020-01-13,30
2020-01-14,39
2020-01-15,53
2020-01-16,46
2020-01-17,48
2020-01-18,41
2020-01-19,33
2020-01-20,27
2020-01-21,30
2020-01-22,29
2020-01-23,27
2020-01-24,29
2020-01-25,24
2020-01-26,22
2020-01-27,19
2020-01-28,19
2020-01-29,20
2020-01-30,23
2020-01-31,25
2020-02-01,20
2020-02-02,19
2020-02-03,17
2020-02-04,21
2020-02-05,19
2020-02-06,19
2020-02-07,22
2020-02-08,19
2020-02-09,17
2020-02-10,17
2020-02-11,18
2020-02-12,16
2020-02-13,18
2020-02-14,21
2020-02-15,15
2020-02-16,14
2020-02-17,12
2020-02-18,13
2020-02-19,14
2020-02-20,24
2020-02-21,28
2020-02-22,21
2020-02-23,18
2020-02-24,16
2020-02-25,15
2020-02-26,15
2020-02-27,14
2020-02-28,15
2020-02-29,14
2020-03-01,12
2020-03-02,12
2020-03-03,11
2020-03-04,13
2020-03-05,13
2020-03-06,12
2020-03-07,12
